Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Caribou Munroes,NS,CANADA,3,,3,CampsitePermit,Full,Tents,07/08/2013,07/09/2013,1,1
Blomidon,NS,CANADA,1,,1,CampsitePermit,Full,Less than 20ft,07/22/2013,07/23/2013,1,1
Cape Chignecto,NB,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/06/2013,09/09/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/14/2013,08/15/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/05/2013,08/06/2013,1,1
Smileys,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/26/2013,08/28/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/13/2013,08/15/2013,2,1
Mira River,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/02/2013,08/05/2013,3,1
Caribou Munroes,NS,CANADA,5,0,5,CampsitePermit,Full,Single Tent,08/07/2013,08/11/2013,4,1
Graves Island,NS,CANADA,4,,4,CampsitePermit,Full,Single Tent,08/30/2013,09/02/2013,3,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/31/2013,08/02/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/29/2013,07/30/2013,1,1
Ellenwood Lake,NS,CANADA,4,1,5,CampsitePermit,Full,Tents,08/16/2013,08/20/2013,4,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Rissers Beach,BC,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,07/09/2013,07/10/2013,1,1
Valleyview,NS,CANADA,3,,3,CampsitePermit,Full,Less than 20ft,07/06/2013,07/07/2013,1,1
Porters Lake,NS,CANADA,4,,4,CampsitePermit,Senior,Less than 30ft,06/20/2013,06/22/2013,2,1
Dollar Lake,NS,CANADA,2,,2,CampsitePermit,Full,Tents,10/12/2013,10/14/2013,2,1
Battery,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/29/2013,07/30/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Single Tent,09/22/2013,09/23/2013,1,1
Amherst Shore,GERMANY,Other,2,1,3,CampsitePermit,Full,Less than 30ft,08/16/2013,08/17/2013,1,1
