Park ID,State,Country,Adult,Child,PartySize,BookingType,RateType,Equipment,BookingStartDate,BookingEndDate,Camper Nights,Permits
Rissers Beach,NS,Canada,4,,4,CampsitePermit,Full,Less than 20ft,08/17/2012,08/21/2012,4,1
Rissers Beach,NS,Canada,4,2,6,CampsitePermit,Full,Tents,09/07/2012,09/09/2012,2,1
Thomas Raddall,NS,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,08/31/2012,09/03/2012,3,1
Caribou Munroes,NS,Canada,2,1,3,CampsitePermit,Full,Single Tent,08/22/2012,08/26/2012,4,1
Porters Lake,NS,Canada,3,4,7,CampsitePermit,Full,Single Tent,08/31/2012,09/02/2012,2,1
Thomas Raddall,NS,Canada,4,2,6,CampsitePermit,Full,Less than 20ft,06/08/2012,06/10/2012,2,1
Porters Lake,NS,Canada,4,,4,CampsitePermit,Full,Single Tent,08/25/2012,08/26/2012,1,1
Blomidon,NS,Canada,5,26,31,CampsitePermit,Full,Single Tent,06/22/2012,06/24/2012,2,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,06/22/2012,06/24/2012,2,1
Battery,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,08/25/2012,08/26/2012,1,1
Laurie,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,07/01/2012,07/03/2012,2,1
Mira River,NS,Canada,1,,1,CampsitePermit,Full,Less than 20ft,06/25/2012,06/26/2012,1,1
Rissers Beach,NS,Canada,2,,2,CampsitePermit,Senior,Less than 30ft,06/18/2012,06/21/2012,3,1
Thomas Raddall,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,08/12/2012,08/14/2012,2,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/05/2012,07/08/2012,3,1
Mira River,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,07/13/2012,07/15/2012,2,1
Thomas Raddall,ON,Canada,2,2,4,CampsitePermit,Full,Single Tent,07/23/2012,07/24/2012,1,1
Five Islands,NB,Canada,2,,2,CampsitePermit,Full,Single Tent,07/18/2012,07/20/2012,2,1
Graves Island,QC,Canada,2,,2,CampsitePermit,Full,Single Tent,08/05/2012,08/06/2012,1,1
Salsman,NS,Canada,3,2,5,CampsitePermit,Full,Less than 30ft,08/03/2012,08/05/2012,2,1
Boylston,NS,Canada,2,,2,CampsitePermit,Full,Single Tent,07/03/2012,07/04/2012,1,1
Mira River,ON,Canada,5,,5,CampsitePermit,Full,Less than 40ft,07/20/2012,07/22/2012,2,1
Porters Lake,NS,Canada,1,,1,CampsitePermit,Full,Single Tent,07/13/2012,07/14/2012,1,1
Ellenwood Lake,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,06/08/2012,06/11/2012,3,1
Valleyview,ON,Canada,1,3,4,CampsitePermit,Full,Less than 20ft,08/09/2012,08/11/2012,2,1
Caribou Munroes,NS,Canada,2,2,4,CampsitePermit,Full,Less than 20ft,08/18/2012,08/19/2012,1,1
Mira River,NS,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,07/12/2012,07/14/2012,2,1
Dollar Lake,NS,Canada,2,3,5,CampsitePermit,Full,Single Tent,07/11/2012,07/12/2012,1,1
Battery,GERMANY,Other,4,,4,CampsitePermit,Full,Less than 20ft,08/05/2012,08/06/2012,1,1
Mira River,NS,Canada,2,1,3,CampsitePermit,Full,Less than 20ft,07/20/2012,07/22/2012,2,1
Graves Island,NS,Canada,2,,2,CampsitePermit,Full,Less than 20ft,08/23/2012,08/24/2012,1,1
Porters Lake,NS,Canada,2,2,4,CampsitePermit,Full,Less than 30ft,07/27/2012,07/29/2012,2,1
