Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Salsman,NS ,CANADA ,3,1,4,CampsitePermit,Full,Less than 30ft,07/04/2015,07/05/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/14/2015,08/16/2015,2,1
Laurie,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/02/2015,08/03/2015,1,1
Thomas Raddall,VA ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,09/06/2015,09/07/2015,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/31/2015,08/02/2015,2,1
Battery,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/17/2015,09/18/2015,1,1
Caribou Munroes,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/09/2015,08/11/2015,2,1
Whycocomagh,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/07/2015,08/08/2015,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/14/2015,08/15/2015,1,1
Whycocomagh,ON ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/28/2015,07/29/2015,1,1
Porters Lake,GERMANY ,OTHER,2,2,4,CampsitePermit,Full,Less than 20ft,05/22/2015,05/23/2015,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,06/20/2015,06/21/2015,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,08/15/2015,08/16/2015,1,1
Whycocomagh,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/28/2015,08/29/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/12/2015,06/14/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/21/2015,06/29/2015,8,1
Ellenwood Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/30/2015,08/02/2015,3,1
Caribou Munroes,OH ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/09/2015,07/10/2015,1,1
Dollar Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,09/04/2015,09/05/2015,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/23/2015,08/27/2015,4,1
